name,lat,long,time,dist,elev
gate to roughing filter,18.059255,-66.031658,2019-08-05 17:04:21+00:00,6.161935474799513e-05,204.96
gate to roughing filter,18.059254000000006,-66.031676,2019-08-05 17:04:35+00:00,6.161935474799513e-05,204.55
gate to roughing filter,18.0592474,-66.0316838,2019-08-05 17:04:43+00:00,6.161935474799513e-05,204.05
gate to roughing filter,18.059235800000003,-66.0316926,2019-08-05 17:04:56+00:00,6.161935474799513e-05,203.62
gate to roughing filter,18.0592226,-66.0316984,2019-08-05 17:05:09+00:00,6.161935474799513e-05,203.31
gate to roughing filter,18.0592086,-66.03170940000001,2019-08-05 17:05:17+00:00,6.161935474799513e-05,203.01000000000002
gate to roughing filter,18.0591946,-66.0317218,2019-08-05 17:05:22+00:00,6.161935474799513e-05,202.79000000000002
gate to roughing filter,18.0591768,-66.03173100000001,2019-08-05 17:05:26+00:00,6.161935474799513e-05,202.45000000000002
gate to roughing filter,18.0591592,-66.03174179999999,2019-08-05 17:05:31+00:00,6.161935474799513e-05,202.21
gate to roughing filter,18.0591418,-66.0317522,2019-08-05 17:05:35+00:00,6.161935474799513e-05,202.01000000000002
gate to roughing filter,18.0591256,-66.03176380000001,2019-08-05 17:05:39+00:00,6.161935474799513e-05,201.69
gate to roughing filter,18.059109600000003,-66.0317726,2019-08-05 17:05:43+00:00,6.161935474799513e-05,201.35000000000002
gate to roughing filter,18.0590918,-66.03178059999999,2019-08-05 17:05:47+00:00,6.161935474799513e-05,200.97
gate to roughing filter,18.0590738,-66.0317868,2019-08-05 17:05:51+00:00,6.161935474799513e-05,200.64000000000001
gate to roughing filter,18.0590526,-66.0317922,2019-08-05 17:05:55+00:00,6.161935474799513e-05,200.36
gate to roughing filter,18.0590314,-66.0317952,2019-08-05 17:05:59+00:00,6.161935474799513e-05,200.24
gate to roughing filter,18.059008399999996,-66.0317968,2019-08-05 17:06:02+00:00,6.161935474799513e-05,200.15000000000003
