Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
0,community side trails,18.0298530000,-66.0299350000,148.5620000000,0.0000000000
228,community side trails,18.0350588000,-66.0310122000,188.3920000000,591.0712090821
237,community side trails,18.0351542000,-66.0308186000,193.2520000000,23.9849407915
431,community side trails,18.0334472000,-66.0325996000,167.6820000000,269.1328256691
630,community side trails,18.0320226000,-66.0358806000,172.0220000000,381.2045757237
645,community side trails,18.0323016000,-66.0362668000,183.3320000000,52.7279994372
1063,community side trails,18.0438364000,-66.0280688000,232.3420000000,1549.2296414373
2041,community side trails,18.0582160000,-66.0321060000,212.8620000000,1654.9885659081
2042,sidepath (08-06),18.0410860000,-66.0347000000,105.3260000000,0.0000000000
2043,sidepath (08-06),18.0410830000,-66.0347010000,104.4360000000,0.9676277036
2049,sidepath (08-06),18.0410996000,-66.0346740000,104.8860000000,2.9156453552
2050,sidepath (08-06),18.0411000000,-66.0346730000,104.6960000000,0.1900000000
2083,sidepath (08-06),18.0406614000,-66.0351424000,109.1260000000,69.3694426079
2100,sidepath (08-06),18.0407628000,-66.0354276000,111.2520000000,32.4025300004
2107,sidepath (08-06),18.0408368000,-66.0354880000,112.2760000000,10.2087428494
2112,sidepath (08-06),18.0407862000,-66.0354448000,111.2520000000,7.0810314077
2120,sidepath (08-06),18.0409144000,-66.0355128000,111.2520000000,15.9666856136
2133,sidepath (08-06),18.0407678000,-66.0354206000,113.4760000000,18.9660269594
2144,sidepath (08-06),18.0407734000,-66.0355042000,111.2520000000,8.9646730460
2150,sidepath (08-06),18.0410704000,-66.0364796000,114.3260000000,107.7787332402
2156,sidepath (08-06),18.0409574000,-66.0355554000,114.7860000000,98.3168100568
2163,sidepath (08-06),18.0410248000,-66.0356340000,113.1660000000,11.6361636954
2179,sidepath (08-06),18.0409408000,-66.0357254000,113.9160000000,13.7598189739
2180,sidepath (08-06),18.0409466000,-66.0357244000,113.9760000000,1.0497160089
2291,sidepath (08-06),18.0416980000,-66.0356300000,106.8760000000,84.4515527663
2292,walk along road from sidepath to sidepath,18.0417180000,-66.0356450000,100.5840000000,0.0000000000
2295,walk along road from sidepath to sidepath,18.0417314000,-66.0356792000,100.5840000000,4.5913759974
2296,walk along road from sidepath to sidepath,18.0417324000,-66.0356828000,100.5840000000,0.1898705959
2298,walk along road from sidepath to sidepath,18.0417278000,-66.0356830000,101.7720000000,1.3174982310
2311,walk along road from sidepath to sidepath,18.0418876000,-66.0358364000,102.2220000000,23.7572096760
2314,walk along road from sidepath to sidepath,18.0418688000,-66.0358064000,101.9120000000,3.5779892580
2350,walk along road from sidepath to sidepath,18.0423034000,-66.0362682000,102.9020000000,68.9675697615
2351,walk along road from sidepath to sidepath,18.0422930000,-66.0362614000,102.2120000000,1.5150618653
2368,walk along road from sidepath to sidepath,18.0424080000,-66.0365700000,102.0420000000,34.8978769087
2369,sidepath 2 (08-06),18.0424010000,-66.0365880000,106.2640000000,0.0000000000
2384,sidepath 2 (08-06),18.0421610000,-66.0369500000,115.6140000000,46.9479176792
2426,sidepath 2 (08-06),18.0418272000,-66.0362376000,115.1640000000,83.1718393186
2498,sidepath 2 (08-06),18.0423460000,-66.0363850000,109.7280000000,59.7437559820
2499,more road points and bridge start,18.0419260000,-66.0357510000,101.0800000000,0.0000000000
2531,more road points and bridge start,18.0414280000,-66.0353204000,99.0600000000,71.7474525627
2534,more road points and bridge start,18.0414434000,-66.0353290000,99.0600000000,2.2374243133
2593,more road points and bridge start,18.0416124000,-66.0345236000,99.0600000000,88.0072810269
2621,more road points and bridge start,18.0411000000,-66.0347860000,97.7800000000,63.4106415736
2622,extra notes from looped community,18.0432050000,-66.0304450000,191.8500000000,0.0000000000
2639,extra notes from looped community,18.0434734000,-66.0299630000,192.9700000000,59.4137010632
2645,extra notes from looped community,18.0434258000,-66.0299858000,190.5000000000,6.5351638716
2728,extra notes from looped community,18.0444898000,-66.0285902000,193.2000000000,189.3928693133
2732,extra notes from looped community,18.0445306000,-66.0285848000,193.1400000000,4.7471440888
2733,extra notes from looped community,18.0445330000,-66.0285832000,192.8000000000,0.8204387389
2736,extra notes from looped community,18.0445202000,-66.0285860000,191.8200000000,1.9465669526
2737,extra notes from looped community,18.0445216000,-66.0285862000,192.0500000000,0.2982462794
2741,extra notes from looped community,18.0444674000,-66.0285792000,192.3400000000,5.9372074103
2759,extra notes from looped community,18.0445190000,-66.0288036000,194.5100000000,23.8985162058
2764,extra notes from looped community,18.0444872000,-66.0287980000,188.1000000000,7.3554370635
2765,extra notes from looped community,18.0444886000,-66.0288028000,187.4900000000,0.6388668431
