Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
0,community side trails,18.0298530000,-66.0299350000,148.5620000000,0.0000000000
1,community side trails,18.0298592000,-66.0299054000,150.0820000000,3.9907532310
2,community side trails,18.0298798000,-66.0298834000,151.1320000000,3.3147888023
3,community side trails,18.0298978000,-66.0298554000,152.0320000000,3.5721108912
4,community side trails,18.0299250000,-66.0298258000,152.2720000000,4.6052069466
5,community side trails,18.0299462000,-66.0297778000,152.4320000000,5.6280024205
6,community side trails,18.0299632000,-66.0297310000,152.5420000000,4.7321430291
7,community side trails,18.0299866000,-66.0296804000,152.6620000000,6.3608097765
8,community side trails,18.0300166000,-66.0296300000,152.7220000000,5.9982072283
9,community side trails,18.0300526000,-66.0295846000,152.7820000000,6.4388052018
10,community side trails,18.0300930000,-66.0295462000,152.8120000000,5.8142110799
11,community side trails,18.0301380000,-66.0295178000,152.8020000000,6.2705679885
12,community side trails,18.0301880000,-66.0295006000,152.7820000000,5.6925720781
13,community side trails,18.0302426000,-66.0294982000,152.6320000000,6.1204672875
14,community side trails,18.0302984000,-66.0295114000,152.5020000000,6.2465334801
15,community side trails,18.0303510000,-66.0295422000,152.3520000000,7.0694691263
16,community side trails,18.0303944000,-66.0295878000,152.2220000000,6.2895222319
17,community side trails,18.0304302000,-66.0296470000,152.1520000000,7.6255548191
18,community side trails,18.0304584000,-66.0297150000,152.1020000000,7.9105269929
19,community side trails,18.0304834000,-66.0297888000,152.0520000000,8.4392987054
20,community side trails,18.0305064000,-66.0298654000,151.9920000000,9.0110879485
21,community side trails,18.0305284000,-66.0299446000,151.9220000000,8.3772699622
22,community side trails,18.0305506000,-66.0300266000,151.8420000000,8.9610926740
23,community side trails,18.0305730000,-66.0301106000,151.8120000000,9.7075094047
24,community side trails,18.0305946000,-66.0301948000,151.7620000000,9.0110225667
25,community side trails,18.0306152000,-66.0302772000,151.7320000000,8.2643781293
26,community side trails,18.0306354000,-66.0303572000,151.7120000000,8.9607542657
27,community side trails,18.0306550000,-66.0304368000,151.6920000000,8.2140280893
28,community side trails,18.0306750000,-66.0305156000,151.6820000000,9.7074631293
29,community side trails,18.0306942000,-66.0305954000,151.6820000000,8.2140015678
30,community side trails,18.0307130000,-66.0306750000,151.6520000000,8.8718264576
31,community side trails,18.0307314000,-66.0307542000,151.5920000000,8.2142192543
32,community side trails,18.0307496000,-66.0308326000,151.4220000000,8.9159607173
33,community side trails,18.0307688000,-66.0309104000,151.3120000000,8.2147351851
34,community side trails,18.0307892000,-66.0309880000,151.1720000000,8.9154369928
35,community side trails,18.0308134000,-66.0310684000,151.1720000000,8.4391368258
36,community side trails,18.0308404000,-66.0311496000,151.1620000000,9.1832644487
37,community side trails,18.0308712000,-66.0312338000,151.2120000000,9.9912424178
38,community side trails,18.0309046000,-66.0313188000,151.2820000000,9.4619456578
39,community side trails,18.0309404000,-66.0314046000,151.4020000000,9.5402282496
40,community side trails,18.0309776000,-66.0314902000,151.5620000000,10.2012678842
41,community side trails,18.0310174000,-66.0315726000,151.9820000000,9.8002429874
